scheme_name,provider_type,coverage,category,target_beneficiary,sector,support_summary,state_applicability,is_entrepreneur_focused,match_fields,match_percentage,application_url,official_source_url,verification_status,last_verified,record_type,notes
Startup India Seed Fund Scheme (SISFS),Government,Central,Startup Funding,Startups,Multiple,"Seed funding via approved incubators for PoC, prototype, product trials, market entry and commercialisation",All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Credit Guarantee Scheme for Startups (CGSS),Government,Central,Credit & Guarantee,DPIIT-recognised startups,Multiple,Credit guarantee support for eligible startup debt,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Fund of Funds for Startups (FFS),Government,Central,Venture Capital,Startups via AIFs,Multiple,Government contribution through SEBI-registered AIFs; indirect startup funding,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Startup India Fund of Funds 2.0,Government,Central,Venture Capital,Startup ecosystem / funds,Multiple,Government-backed fund-of-funds structure; verify current operational details,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
Startup India Investor Connect,Government,Central,Investor Connect,Startups,Multiple,Platform connecting startups with investors,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
SIPP - Startup Intellectual Property Protection,Government,Central,IP Support,Startups,Technology; Innovation,Facilitates and supports IP protection for startups,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
GeM Startup Runway,Government,Central,Market Access,DPIIT-recognised startups,Multiple,Government procurement route for eligible startups,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
NIDHI-Seed Support Program,Government,Central,Incubation & Funding,Technology startups,Technology; Innovation,Seed support through eligible incubators,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
NIDHI-PRAYAS,Government,Central,Prototype Funding,Innovators / early entrepreneurs,Technology; Innovation,Prototype and technology innovation support,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
NIDHI-EIR,Government,Central,Entrepreneurship,Aspiring entrepreneurs / researchers,Technology; Innovation,Entrepreneur-in-residence support through incubators,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
TIDE 2.0,Government,Central,Technology Incubation,Tech startups,IT; AI; IoT; Robotics; Electronics,Support through technology incubators,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
PRISM,Government,Central,Innovation Grant,Individuals; startups; MSMEs,Technology; Innovation,Innovation support for eligible technology ideas,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
BIG - Biotechnology Ignition Grant,Government,Central,Biotech Grant,Biotech innovators / startups,Biotechnology,Grant support for biotechnology innovation,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
BIRAC SEED Fund,Government,Central,Biotech Investment,Biotech startups,Biotechnology,Seed-stage investment/support through BIRAC ecosystem,All India / Program-specific,True,age|state|district|education|sector|organization_type|annual_income|annual_turnover|existing_loans|startup_stage,,,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,requires_current_program_verification,2026-09-09,government_scheme_or_policy,
